did,handle,displayName,avatar,followedDt,lastPostUri,lastPostDt,followsBack
did:plc:bqulmur4cskn3gwj5t3mfqv5,seltzerqueen.bsky.social,emma,https://av-cdn.bsky.app/img/avatar/plain/did:plc:bqulmur4cskn3gwj5t3mfqv5/bafkreia3cloxhjpuhpu435vqevodjhxtpnhyzmgfonbfymib47nejhab4e@jpeg,8/29/2023,at://did:plc:bqulmur4cskn3gwj5t3mfqv5/app.bsky.feed.post/3k65egg6adx24,8/29/2023,1
did:plc:cpoufjclyzb2i4vsspfhcfs4,sarahboev.bsky.social,Sarah Boeving,https://av-cdn.bsky.app/img/avatar/plain/did:plc:cpoufjclyzb2i4vsspfhcfs4/bafkreihqx6cfbc3x3kk4husvvcefwb5lrgikwtb3a6sezlslpspyl6jd4e@jpeg,8/25/2023,at://did:plc:cpoufjclyzb2i4vsspfhcfs4/app.bsky.feed.post/3k64hofus6527,8/29/2023,0
did:plc:4pxxuyafjlglickstccj3do5,georgialux.bsky.social,georgia-lux,https://av-cdn.bsky.app/img/avatar/plain/did:plc:4pxxuyafjlglickstccj3do5/bafkreiafkkvwufawcnl7evw3nxpbhjzagb5q6bot2adsoaepdsuiekppzq@jpeg,8/25/2023,at://did:plc:4pxxuyafjlglickstccj3do5/app.bsky.feed.post/3k65hogssmm2p,8/29/2023,1
did:plc:idys2fkzhar72b2r2d3guubx,steelydad.bsky.social,I.G.Y. Azalea,https://av-cdn.bsky.app/img/avatar/plain/did:plc:idys2fkzhar72b2r2d3guubx/bafkreihawwgot7cyg4fvoeduxxwhon6di5sasn25hww25bjsd4plsbpnu4@jpeg,8/24/2023,at://did:plc:idys2fkzhar72b2r2d3guubx/app.bsky.feed.post/3k65jl776h42a,8/29/2023,1
did:plc:l5o3qjrmfztir54cpwlv2eme,legalcat.bsky.social,kelly! under the weighted blanket,https://av-cdn.bsky.app/img/avatar/plain/did:plc:l5o3qjrmfztir54cpwlv2eme/bafkreig4fq3bgbi5gm4etcrb3arqwttunoqsvxkpego3kygsy7asjcja4m@jpeg,8/22/2023,at://did:plc:l5o3qjrmfztir54cpwlv2eme/app.bsky.feed.post/3k65fblsr2d2t,8/29/2023,1
did:plc:ehyz54jo2bizekya5zolbf5g,troglodytegeorge.bsky.social,troglodyte george,https://av-cdn.bsky.app/img/avatar/plain/did:plc:ehyz54jo2bizekya5zolbf5g/bafkreibapsk5gf2djszv7b4psdlece24vj2f4nbzqgnbw5v6vyuf6cebzy@jpeg,8/21/2023,at://did:plc:woacfjdcgbtdaf5vgykia37v/app.bsky.feed.post/3k65e3zporo2w,8/29/2023,1
did:plc:zkw6jpx34txyltnoclyqi6tp,mcs212.bsky.social,Mike Schuster,https://av-cdn.bsky.app/img/avatar/plain/did:plc:zkw6jpx34txyltnoclyqi6tp/bafkreibb6q22drieqmvntj4p2khfn4f27v4tj3gna7rpojurlzhpyrx54i@jpeg,8/19/2023,at://did:plc:zkw6jpx34txyltnoclyqi6tp/app.bsky.feed.post/3k63remguxx23,8/29/2023,1
did:plc:7jttsgffa5v5zrpa2fohszvj,boshyboo.bsky.social,c______z,https://av-cdn.bsky.app/img/avatar/plain/did:plc:7jttsgffa5v5zrpa2fohszvj/bafkreiestd647vj2uaswkykpjhmfvxejhfuoe2telqunq2tyn56tpg4abm@jpeg,8/19/2023,at://did:plc:7jttsgffa5v5zrpa2fohszvj/app.bsky.feed.post/3k64vjl4zhq27,8/29/2023,1
did:plc:3ezzq6c54fowgwml4t4g6uiq,cabanarama.bsky.social,Cabana Macabre,https://av-cdn.bsky.app/img/avatar/plain/did:plc:3ezzq6c54fowgwml4t4g6uiq/bafkreid7q4hwpjrmawekyoft7vnxhfdm3fmz7dz4y5o5u6xgixlzgrcpfa@jpeg,8/15/2023,at://did:plc:3ezzq6c54fowgwml4t4g6uiq/app.bsky.feed.post/3k65dxzkjhy2z,8/29/2023,1
did:plc:dzzwatgvhjfsunbhkhhxdmtt,chelfaust.bsky.social,chel✨,https://av-cdn.bsky.app/img/avatar/plain/did:plc:dzzwatgvhjfsunbhkhhxdmtt/bafkreifr6ewjocknnzzwiludrjwh3kf3yxb7rotmnnsxvjao5rea2vtuly@jpeg,8/15/2023,at://did:plc:wr4tgzjdb2vznwrr2oa5nxmr/app.bsky.feed.post/3k5iawwrtqz2v,8/25/2023,0
